NÚM_REGISTRE,NOM_ENTITAT,ADREÇA,CP,MUNICIPI,COMARCA,TELÈFON_FAX,CORREU_ELECTRÒNIC,TIPUS_ENTITAT,MODALITATS
01732,CLUB BASQUET MASRAMPINYO,"General Mola, 1",08110,Montcada i Reixac,Vallès Occidental,93-5641777 /,,Clubs i Associacions Esportives,Basquetbol
01734,CENTRE EXCURSIONISTA MONTCLAR,"Antoni de Capmany, 100",17220,Sant Feliu de Guíxols,Baix Empordà,972 328 595 /,ramarnaumar@gmail.com,Clubs i Associacions Esportives,"Alpinisme, BTT (ciclisme en bicicleta tot terreny), Ciclisme, Curses d'orientació, Descens de barrancs (Escalada), Escalada, Esports Hivern (veure esports neu gel trineu), Excursionisme"
01737,LAS PLANAS PATIN CLUB,"FLORIDABLANCA, 21",08906,"Hospitalet de Llobregat, l'",Barcelonès,93-4381969 /,,Clubs i Associacions Esportives,"Patinatge de Velocitat, Patinatge sobre rodes"
01738,CENTRE EXCURSIONISTA DE SANT MARTI,"Bassols, 15 bxos.",08026,Barcelona,Barcelonès,93-2328804 /,,Clubs i Associacions Esportives,"Espeleologia, Esports Hivern (veure esports neu gel trineu), Esquí alpí, Excursionisme"
01739,REIAL CLUB NAUTIC DE BARCELONA,"Moll d'Espanya, s/n",08003,Barcelona,Barcelonès,93-3151161 /,,Clubs i Associacions Esportives,"Motonàutica, Vela"
01740,CLUB DE TENNIS PONTS,"de Lleida, s/n",25740,Ponts,Noguera,973-460390 /,,Clubs i Associacions Esportives,"Futbol sala (Futbol cinc), Natació, Tennis"
01741,CENTRE EXCURSIONISTA GANDESA,"Pavia, 18",43780,Gandesa,Terra Alta,/,,Clubs i Associacions Esportives,Excursionisme
01742,CLUB NAUTIC CASES D'ALCANAR (C.N.C.A.),"PORT ZONA CONCESSIO,LES CASES D'ALCANAR",43569,Alcanar,Montsià,977-735014 /,,Clubs i Associacions Esportives,"Motonàutica, Vela"
01743,CLUB NAUTIC AMPOSTA,"Sant Jaume , 61-67",43870,Amposta,Montsià,977-705257 /,info@clubnauticamposta.org,Clubs i Associacions Esportives,Rem
01744,CLUB ESPORTIU TENNIS PARK,"La Cota, s/n (Cala Romana)",43007,Tarragona,Tarragonès,977207463 /,xpueyo@tennis.park.net,Clubs i Associacions Esportives,"Esquaix, Gimnàstica, Padel, Tennis"
01745,CLUB D'ESQUI LES HEURES-SANT JAUME,"Pompeu, 2",25006,Lleida,Segrià,973-235986 /,,Clubs i Associacions Esportives,"Esports Hivern (veure esports neu gel trineu), Esquí alpí"
01746,ASOCIACION KENDO CATALONIA TOMONOKAI,"Dèu i Mata, 112",08029,Barcelona,Barcelonès,93-2307987 /,,Clubs i Associacions Esportives,"Judo, Kendo"
01747,CLUB JUDO AVDA MONTSERRAT,"VALLSECA, 20",08024,Barcelona,Barcelonès,932846265 /,,Clubs i Associacions Esportives,"Aikido, Jiu-jitsu, Judo, Karate, Kick boxing, Wu-shu"
01748,CLUB YAWARA SABADELL,"GENERAL VIVES, 51",08130,Santa Perpètua de Mogoda,Vallès Occidental,/,,Clubs i Associacions Esportives,"Aikido, Judo, Karate"
01749,CLUB TAEKWONDO JEAN,"PUIGGENE, 3 PIS",08208,Sabadell,Vallès Occidental,/,,Clubs i Associacions Esportives,Taekwon-do
01750,CLUB JUDO CORDELLAS,"TORRENTE, 69",08290,Cerdanyola del Vallès,Vallès Occidental,/,,Clubs i Associacions Esportives,Judo
01751,CLUB JUDO CISNEROS,"TIRSO DE MOLINA,S/N",08028,Barcelona,Barcelonès,/,,Clubs i Associacions Esportives,Judo
01752,CLUB GIMNASIO CHODOKWAN,"Mallorca, 277",08037,Barcelona,Barcelonès,93-2153380 /,,Clubs i Associacions Esportives,Taekwon-do
01753,CLUB JUDO BARCELONA NORD,"RAFAEL DE CASANOVA, 79",08100,Mollet del Vallès,Vallès Oriental,93-5705608 /,,Clubs i Associacions Esportives,Judo
01755,CLUB GIMNAS YIN,"Sant Antoni, 10",08190,Sant Cugat del Vallès,Vallès Occidental,93-6744538 /,,Clubs i Associacions Esportives,Judo
01756,CLUB JUDO SENSEI,"Melcior de Palau, 147-149",08014,Barcelona,Barcelonès,934906209 /,ernestlasheras@gmail.com,Clubs i Associacions Esportives,"Jiu-jitsu, Judo, Taekwon-do, Tai txi"
01757,CLUB JUDO VIC-ESPORT VIC-,"SANT JORDI, 23 PL.1.",08500,Vic,Osona,/,,Clubs i Associacions Esportives,"Gimnàstica, Judo, Lluita"
01758,CLUB CALIFORNIA EL MASNOU,"Santiago Rusinyol, 48 bxos.",08320,"Masnou, el",Maresme,/,,Clubs i Associacions Esportives,"Gimnàstica, Judo, Taekwon-do"
01759,ESCOLA ESPORTIVA ALBA HNOS.,"MAJOR, 57 BAIX",17700,"Jonquera, la",Alt Empordà,/,,Clubs i Associacions Esportives,Judo
01760,CLUB GIMNAS BADRENA CENTER,"Floridablanca, 18-20 2n.",08015,Barcelona,Barcelonès,93-3259991 /,,Clubs i Associacions Esportives,"Gimnàstica, Judo, Karate"
01761,CLUB ESPORTIU MARISTES RUBI,"Magallanes, 65",08191,Rubí,Vallès Occidental,935885022 /,cemrubi@maristes.cat,Clubs i Associacions Esportives,"Basquetbol, Futbol, Futbol sala (federació futbol sala), Handbol, Judo"
01762,CLUB JUDO MANRESA,"COSO, 11",08240,Manresa,Bages,93-8724242 /,,Clubs i Associacions Esportives,"Dards, Jiu-jitsu, Judo, Kendo"
01763,CLUB SAMURAI MOLINENSE,MOLI 8,08750,Molins de Rei,Baix Llobregat,/,,Clubs i Associacions Esportives,Judo
01764,CLUB J. TANNOUS,"PI I MARGALL, 114",08025,Barcelona,Barcelonès,/,,Clubs i Associacions Esportives,"Gimnàstica, Judo, Lluita, Taekwon-do"
01765,CLUB JUDO MONTEMAR,"PIQUER,55",08014,Barcelona,Barcelonès,/,,Clubs i Associacions Esportives,"Aikido, Judo, Taekwon-do"
01766,CLUB JUDO TERRASSA,"PADRE LLAURADO, 99",08224,Terrassa,Vallès Occidental,/,,Clubs i Associacions Esportives,"Judo, Karate"
01767,CLUB GIMNAS LOUIS,"Cervantes, 22, 4t 4ª",08912,Badalona,Barcelonès,933205005 /,gymlouis@terra.es,Clubs i Associacions Esportives,Karate
01768,CLUB TAEGUK,"JOSE PANNE, 5",08290,Cerdanyola del Vallès,Vallès Occidental,/,,Clubs i Associacions Esportives,Taekwon-do
01769,CLUB JUDO DALT-MAR,"LLEIDA, 3-5",08330,Premià de Mar,Maresme,/,,Clubs i Associacions Esportives,"Gimnàstica, Jiu-jitsu, Judo"
01770,ASSOCIACIO CLUB ESPORTIU SUBAQUATIC GIRONA,"Pla Guillem, 2 B",17003,Girona,Gironès,972-202844 /,cesubgi@hotmail.com,Clubs i Associacions Esportives,"Activitats subaquàtiques, Apnea, Escafandrisme"
01771,CLUB TENIS DE TAULA OLOT,"Paragüai, 5",17800,Olot,Garrotxa,605254870 / 972264462,cttolot@hotmail.com,Clubs i Associacions Esportives,Tennis taula
01773,FEDERACIO CATALANA DE COLOMS MISSATGERS,"del Taulat, núm. 7",08019,Barcelona,Barcelonès,93-2660210 / 932660228,info@colomsmissatgers.cat,Federacions,"Coloms missatgers, Curses de coloms missatgers, Mostres de coloms missatgers"
01774,FEDERACIO CATALANA DE RUGBY,"Josep Tarradellas, 40 Entl. despatx.",08029,Barcelona,Barcelonès,93-4392019 /,,Federacions,"Rugby, Rugby a 7, Rugby platja, Touch rugby"
01776,CLUB ESPORTIU MARISTES-GIRONA,"Josep Tarradellas, 5-7",17005,Girona,Gironès,972232211 /,girona.admin@maristes.cat,Clubs i Associacions Esportives,"Basquetbol, Futbol, Gimnàstica, Handbol, Tennis taula, Voleibol"
01778,U.D. PANTANO DE TREMP,"PANTÀ DE TREMP, 47",08032,Barcelona,Barcelonès,93-3589092 /,,Clubs i Associacions Esportives,Futbol
01779,C.D. CATAL-79,"Segura, 12",08304,Mataró,Maresme,93-7986921 /,,Clubs i Associacions Esportives,Futbol
01780,C.F. RAIMAT,CENTRO RECREATIVO,25001,Lleida,Segrià,973-724047 /,,Clubs i Associacions Esportives,Futbol
01782,CLUB FUTBOL SERRAPARERA,"Universal, 1-2",08290,Cerdanyola del Vallès,Vallès Occidental,93-6918956 /,,Clubs i Associacions Esportives,Futbol
01783,CLUB DE FUTBOL CANOVES,"Tórtora, 3",08445,Cànoves i Samalús,Vallès Oriental,93-8710182 /,cfcanoves@hotmail.com,Clubs i Associacions Esportives,"Futbol, Futbol sala (Futbol cinc)"
01784,F.C. SOCIEDAD,"DURAN I BORRELL, 2",08023,Barcelona,Barcelonès,93-2143068 /,,Clubs i Associacions Esportives,Futbol
01785,CLUB DE FUTBOL SANT MIQUEL DE FLUVIA,"Església, 2",17475,Sant Miquel de Fluvià,Alt Empordà,666561796 / 972547472,cfsantmiquel@gmail.com,Clubs i Associacions Esportives,Futbol
01787,ESPORT CLUB GRANOLLERS,"Girona, 52 (CASAL DE L'ESPORT)",08400,Granollers,Vallès Oriental,938703663 /,info@esportclubgranollers.com,Clubs i Associacions Esportives,Futbol
01788,C.F. RIERA BLANCA,"LLANCA, 89",08903,"Hospitalet de Llobregat, l'",Barcelonès,93-2401055 /,,Clubs i Associacions Esportives,Futbol
01791,CLUB DEPORTIVO SANTS,"Brasil, 10",08028,Barcelona,Barcelonès,93-3300575 /,,Clubs i Associacions Esportives,Futbol
01792,AGRUPACIO DEPORTIVA LA LLANTIA,"Blanes, 70, baixos",08303,Mataró,Maresme,937574335 /,a.d.lallantia@hotmail.es,Clubs i Associacions Esportives,Futbol
01793,C.D. PICAMOIXONS,"Bloc Nou, s/n",43800,Valls,Alt Camp,977-601442 /,,Clubs i Associacions Esportives,Futbol sala (Futbol cinc)
01794,U.D. TORREGUITART,"RDA. COLLSALLARCA, 81-83",08207,Sabadell,Vallès Occidental,93-7164043 /,,Clubs i Associacions Esportives,Futbol
01795,C.F. CANONJA,"Av. Carrasco i Formiguera, s/n (camp de futbol)",43110,"Canonja, La",Tarragonès,977 20 63 58 /,tusha_hay@hotmail.com,Clubs i Associacions Esportives,"Futbol, Handbol"
01797,UNIO ESPORTIVA OSOR,"Major, 3",17161,Osor,Selva,620592989 / 972446000,felix.bruguera@osor.cat,Clubs i Associacions Esportives,Futbol
01798,U.D. LOS ANDES,"BALMES, 16 BAR",08913,Badalona,Barcelonès,/,,Clubs i Associacions Esportives,Futbol
01799,C.F. SAN FERNANDO,"Zumalacarregui, 152",08915,Badalona,Barcelonès,93-3898026 /,,Clubs i Associacions Esportives,Futbol
01800,PENYA ANDREUENCA BERGARA,"PARELLADA, 28",08030,Barcelona,Barcelonès,/,,Clubs i Associacions Esportives,Futbol sala (Futbol cinc)
01802,SPORTING B.P.,"ALFARRAS, 10",08030,Barcelona,Barcelonès,/,,Clubs i Associacions Esportives,Futbol
01803,CLUB ESPORTIU HISPANO FRANCES,"Jorge Manrique, 15-19",08035,Barcelona,Barcelonès,93-2291029 /,info@cdhispanofr.om,Clubs i Associacions Esportives,"Basquetbol, Padel, Petanca, Tennis, Voleibol"
01804,ASSOCIACIO ESPORTIVA BASQUET BERGA,"C/ Guillem de Berguedà, s/n",08600,Berga,Berguedà,650046541 /,tresoreria.basquetberga@gmail.com,Clubs i Associacions Esportives,Basquetbol
01806,C.F. EL CORTE INGLES,"ROGER DE LLÚRIA,6",08010,Barcelona,Barcelonès,93-3185633 /,,Clubs i Associacions Esportives,"Atletisme, Futbol"
01807,CLUB ESPORTIU PORTBOU,"Barcelona, 10",17497,Portbou,Alt Empordà,609525642 / 972389278,ceportbou@terra.es,Clubs i Associacions Esportives,"Escacs, Excursionisme, Futbol, Petanca"
01808,CLUB EPSA - SEDO,"MAJOR, 18",25212,Torrefeta i Florejacs,Segarra,973-520049 /,,Clubs i Associacions Esportives,Futbol
01809,U.E. SANT VICENÇ TORELLO,"Amalrich, 31",08571,Sant Vicenç de Torelló,Osona,93-859 26 92 / 93 850 42 28,uesantvicenst@terra.es,Clubs i Associacions Esportives,Futbol
01810,PENYA CASTELLET,"GRAN, 22",08295,Sant Vicenç de Castellet,Bages,93-8331104 /,,Clubs i Associacions Esportives,Futbol
01811,F.C. AITONA,"ACEQUIA, 20",25182,Aitona,Segrià,973-794647 /,,Clubs i Associacions Esportives,Futbol
01813,UNION DEPORTIVA RAMON BERENGUER,"ARAGON, 29  BAR FUNES",08924,Santa Coloma de Gramenet,Barcelonès,93-3918754 /,,Clubs i Associacions Esportives,Futbol
01814,PEÑA DEPORTIVA PAJARIL,"Sant Jordi, 134",08291,Ripollet,Vallès Occidental,93-6913059 /,ejbn1616@msn.com,Clubs i Associacions Esportives,"Ciclisme, Futbol"
01815,C.F. ROSAS DE SANT FELIU,"Carles Buigas, 6 bxos.",08980,Sant Feliu de Llobregat,Baix Llobregat,93-6660598 /,,Clubs i Associacions Esportives,Futbol
01816,UNIO ESPORTIVA GUISSONA,"Segadors, 67 (Pavelló Municipal)",25210,Guissona,Segarra,973551247 / 973550184,pavello@guissona.cat,Clubs i Associacions Esportives,"Futbol, Futbol Onze, Futbol Set, Futbol platja, Futbol sala (Futbol cinc)"
01817,C.F. TORRUELLA DE BAIX,"Virgen de Fátima, 12",08272,Sant Fruitós de Bages,Bages,93-8761188 /,,Clubs i Associacions Esportives,Futbol
01818,A.T. BISBALENC,"Mas Clarà, s/n",17100,"Bisbal d'Empordà, la",Baix Empordà,972-641275 /,atlbisbalenc@hotmail.com,Clubs i Associacions Esportives,"Basquetbol, Futbol"
01820,CLUB ESPORTIU UNIVERSITARI,"Diagonal, 695-701",08034,Barcelona,Barcelonès,93-2038551 /,oscar.morera1@hotmail.com,Clubs Universitaris,"Atletisme, Esgrima, Judo, Rugby, Tennis"
01822,A.T. RONDA,"Sant Pau, 65",08015,Barcelona,Barcelonès,/,,Clubs i Associacions Esportives,Futbol
01824,A.T. CAMPS BLANCS,"Camps Blancs, 88 Tda.",08830,Sant Boi de Llobregat,Baix Llobregat,93-6521586 /,,Clubs i Associacions Esportives,Futbol
01825,C.F. LLORET,"dels Mestres, s/n",17310,Lloret de Mar,Selva,/,cflloret@cflloret.com,Clubs i Associacions Esportives,Futbol
01826,U.D. PORTELLA,**** NO CONSTA ****,25134,Fondarella,Pla d'Urgell,/,,Clubs i Associacions Esportives,Futbol
01827,GIMNASTIC IGUALADI,"RETIRO, 40",08700,Igualada,Anoia,93-8030080 /,,Clubs i Associacions Esportives,Futbol
01828,UNIO ESPORTIVA RASQUERA,ESCOLES PUBLIQUES VIVENDA A,43513,Rasquera,Ribera d'Ebre,977-409077 /,,Clubs i Associacions Esportives,Futbol
01829,C.D. TORRENTE,"LOS CLAVELES, 14",08207,Sabadell,Vallès Occidental,93-7170053 /,,Clubs i Associacions Esportives,Futbol
01830,CENTRE D'ESPORTS PERELLO,"Sant Jordi, s/n",43519,"Perelló, el",Baix Ebre,/,,Clubs i Associacions Esportives,Futbol
01831,UNIO ESPORTIVA TARREGA,"Alonso Martínez, 36",25300,Tàrrega,Urgell,973-310083 /,,Clubs i Associacions Esportives,Futbol
01833,U.D. ESTRELLA LA PAZ,"BRUC, 70",08923,Santa Coloma de Gramenet,Barcelonès,93-3850850 /,,Clubs i Associacions Esportives,Futbol
01834,UNIO ESPORTIVA DE SANTS,"c/ Riego, núm. 2",08014,Barcelona,Barcelonès,93-4316408 /,uesants@uesants.cat,Clubs i Associacions Esportives,"Atletisme, Ciclisme, Futbol, Futbol sala (federació futbol sala), Petanca"
01835,CLUB ESCOLA DE FUTBOL BOSC DE TOSCA,"ZONA ESPORTIVA, 13",17178,"Preses, les",Garrotxa,972-693437 /,info@boscdetosca.cat,Clubs i Associacions Esportives,"Atletisme, Futbol"
01836,CLUB D'ESQUI SUPER MOLINA,"Consell de Cent, 320 2n. 1a.",08007,Barcelona,Barcelonès,93-3013267 /,,Clubs i Associacions Esportives,"Esports Hivern (veure esports neu gel trineu), Esquí alpí, Esquí nàutic, Motonàutica"
01837,L'ANEMONA CLUB CENTRE ACT SUBAQUATIQ GRACIA,"SANTA MAGDALENA, 12  APT.9192",08012,Barcelona,Barcelonès,93-2181001 /,,Clubs i Associacions Esportives,"Activitats subaquàtiques, Caça submarina  (act subaquàtiques), Escafandrisme, Natació amb aletes (Activitats Subaquàtiques)"
01838,CENTRE EXCURSIONISTA GARRIGUENC,"Gubern, 14",08530,"Garriga, la",Vallès Oriental,/,,Clubs i Associacions Esportives,"BTT (ciclisme en bicicleta tot terreny), Ciclisme, Excursionisme"
01840,CLUB DE TENNIS PLA DEL VENT,"Pla del Vent, 93",08970,Sant Joan Despí,Baix Llobregat,93-3730555 /,,Clubs i Associacions Esportives,Tennis
01841,CLUB JUDO ARBUCIES,"Prat de Can Delfi, s/n",17401,Arbúcies,Selva,972-861020 /,correu@judoarbucies.com,Clubs i Associacions Esportives,Judo
01843,CLUB GIMNAS SAVAS,"Joan Reglà, 5 Bxos. A",17600,Figueres,Alt Empordà,972501775 /,,Clubs i Associacions Esportives,Judo
01844,CLUB ESPORTIU LA SELVA HOSTALRIC,"Josep Carner, 13",08495,Fogars de la Selva,Selva,93-764 40 27 /,,Clubs i Associacions Esportives,"Judo, Karate"
01845,CLUB DE JUDO SANTA COLOMA,"Angel Guimerà, 8",08923,Santa Coloma de Gramenet,Barcelonès,93-3856860 /,,Clubs i Associacions Esportives,"Judo, Karate"
01846,CLUB GIMNAS JUDO TAO,"Castellvell, 2",08905,"Hospitalet de Llobregat, l'",Barcelonès,93 372 16 02 / 93 372 16 02,judotao@judotao.com,Clubs i Associacions Esportives,"Gimnàstica, Judo, Taekwon-do"
01848,JUDO CLUB RIPOLL,"RABAL DE SAN PEDRO, 6",17500,Ripoll,Ripollès,972-700786 /,,Clubs i Associacions Esportives,Judo
01849,CLUB DONG YANG,"RBLA. DE SABADELL, 1",08202,Sabadell,Vallès Occidental,/,,Clubs i Associacions Esportives,Taekwon-do
01850,CLUB JUDO NIPPON PRAT,"C/ Josep Serrano, 6, 1r 1a",08024,Barcelona,Barcelonès,933705852 /,judonipponprat@hotmail.com,Clubs i Associacions Esportives,"Judo, Karate, Taekwon-do"
01851,CLUB MIFUNE,"FELIPE II, 22 AT.2",08915,Badalona,Barcelonès,/,,Clubs i Associacions Esportives,"Gimnàstica, Judo, Kendo, Taekwon-do"
01852,PROMO SERVICE RALLY MANAGEMENT,"Mediterrani, 110",43881,Cunit,Baix Penedès,629380580 /,crous@telefonica.net,Clubs i Associacions Esportives,Automobilisme
01853,CLUB HIPIC DEL MARESME,cases de camp 71,08340,Vilassar de Mar,Maresme,93-7591887 /,,Clubs i Associacions Esportives,"Hípica, Tir Olimpic"
01854,CLUB DE TENNIS CANYELLES,"Canyelles, 25",17310,Lloret de Mar,Selva,972-365674 /,joseluisavessca.com,Clubs i Associacions Esportives,"Esquí nàutic, Natació, Padel, Tennis, Vela, Windsurfing T.D.V. (Vela)"
01855,ESPORT CICLISTA VETERANS DE CATALUNYA,"Taquígrafo Garriga, 33, baixos 2a.",08014,Barcelona,Barcelonès,93-4196341 /,ecvcatalunya@hotmail.com,Clubs i Associacions Esportives,Ciclisme
01856,SANTA EULALIA PATIN CLUB,"VALLPARDA, 126 S.A.",08904,"Hospitalet de Llobregat, l'",Barcelonès,93-3331303 /,,Clubs i Associacions Esportives,"Patinatge de Velocitat, Patinatge sobre rodes"
01857,PATI HOQUEI CLUB SANT CUGAT,"RBLA. DEL CELLER, S/N",08190,Sant Cugat del Vallès,Vallès Occidental,93-6743931 /,,Clubs i Associacions Esportives,"Hoquei sobre patins, Patinatge sobre rodes"
01859,ASSOCIACIO ESPORTIVA SANTO ANGEL,"Sarrià, 5",08850,Gavà,Baix Llobregat,936380481 /,,Clubs i Associacions Esportives,"Basquetbol, Escacs, Futbol, Handbol, Tennis taula, Voleibol"
01860,SPORTING ASSOCIACION,"CRA. UNIVERSITAT LABORAL, S/N",43007,Tarragona,Tarragonès,977-547049 /,,Clubs i Associacions Esportives,"Esquí alpí, Futbol sala (Futbol cinc), Gimnàstica, Tennis, Vela"
01862,CLUB JUBILATS SANT FELIU,"RECTORIA, 5",08980,Sant Feliu de Llobregat,Baix Llobregat,/,,Clubs i Associacions Esportives,"Billar, Escacs, Petanca"
01863,AGRUPACION DEPORTIVA RONDA,"Dr. Bassols, 109-119 local (poliesportiu)",08913,Badalona,Barcelonès,93 460 37 14 /,aeronda@gmail.com,Clubs i Associacions Esportives,"Basquetbol, Futbol sala (Futbol cinc), Gimnàstica Aeròbica i Fitnes, Handbol"
01864,CLUB BASQUET FEMENI CERDANYOLA,"Avinguda Guiera, núm. 6-8",08290,Cerdanyola del Vallès,Vallès Occidental,650 875 575 / 93 129 98 34,femeni@cbfcerdanyola.org,Clubs i Associacions Esportives,Basquetbol
01865,CLUB BASQUET IGUALADA,"c/ Guixeres, s/n",08700,Igualada,Anoia,938055121 / 938054996,clubbasquetigualada@gmail.com,Clubs i Associacions Esportives,Basquetbol
01866,CLUB JUDO CASTELLET,PABELLON POLIDEPORTIVO,08295,Sant Vicenç de Castellet,Bages,/,,Clubs i Associacions Esportives,Judo
01867,CLUB VOLEIBOL RECOMAT,"JAUME RECODER, 70-72 3.2.",08302,Mataró,Maresme,/,,Clubs i Associacions Esportives,Voleibol
01868,CLUB CADI CANOE KAYAK,"Parc del Segre, s/n",25700,"Seu d'Urgell, la",Alt Urgell,973-360092 /,,Clubs i Associacions Esportives,Piragüisme
01869,CLUB UNIO ESPORTIVA LA GARRIGA,"Onze de setembre, s/n - Pavelló de Can Violí",08530,"Garriga, la",Vallès Oriental,/,uelagarriga@gmail.com,Clubs i Associacions Esportives,"Hoquei sobre patins, Patinatge artístic, Patinatge sobre rodes"
01870,CLUB JUDO BALAGUER,"SAN LUIS, 46",25600,Balaguer,Noguera,973-445414 /,,Clubs i Associacions Esportives,"Judo, Natació"
01871,CLUB DE PESCADORS ESPORTIUS DE SOLSONA,"Sant Antoni M. Claret, 1 -Casal de Cultura",25280,Solsona,Solsonès,973-480562 /,,Clubs i Associacions Esportives,"Casting, Pesca Esportiva"
01873,GRUP DE MUNTANYA DE SANT SADURNI D'ANOIA,"Anselm Clavé, 10",08770,Sant Sadurní d'Anoia,Alt Penedès,93-8910991 /,,Clubs i Associacions Esportives,"BTT (ciclisme en bicicleta tot terreny), Escalada, Esports Hivern (veure esports neu gel trineu), Excursionisme, Parapente  (lleure), Rafting (Lleure)"
01875,ASSOCIACIO PIRAGUISTICA DE BALAGUER,"Barcelona, 66 bxos.",25600,Balaguer,Noguera,973-446850 /,,Clubs i Associacions Esportives,Piragüisme
01876,CLUB GIMNASIA PALAU DE PLEGAMANS,"Carrerada, 56",08184,Palau-solità i Plegamans,Vallès Occidental,938644240 /,,Clubs i Associacions Esportives,"Defensa personal, Gimnàstica, Gimnàstica ritmica, Judo, Patinatge sobre rodes"
01877,CERDANYOLA CLUB D'HOQUEI,"Santa Anna, s/n",08290,Cerdanyola del Vallès,Vallès Occidental,935801788 /,,Clubs i Associacions Esportives,"Atletisme, Hoquei sobre patins, Patinatge artístic, Patinatge sobre rodes"
01878,AGRUPACIO PATI LA VERNEDA,"Binefar, 10-14",08020,Barcelona,Barcelonès,93-3145454 /,agrupaciopatilaverneda@hotmail.com,Clubs i Associacions Esportives,"Hoquei sobre patins, Patinatge sobre rodes"
01879,ASSOCIACIO CAÇADORS PALAFOLLS I SANT GENIS PALAFOLLS,"Masia Ferreris, s/n",08389,Palafolls,Maresme,/,,Clubs i Associacions Esportives,Caça
01880,CLUB VELA CANET DE MAR,"Nacional II, km. 660",08360,Canet de Mar,Maresme,93 795 61 97 /,info@clubvelacanet.com,Clubs i Associacions Esportives,Vela
01881,ATLETIKO SANTA COLOMA,"San Sebastián, 4",08922,Santa Coloma de Gramenet,Barcelonès,93-3922867 /,,Clubs i Associacions Esportives,Atletisme
01882,CLUB BASQUETBOL HOSTALRIC,"Raval, 11",17850,Hostalric,Selva,972863106 /,,Clubs i Associacions Esportives,Basquetbol
01883,CLUB DE VOL A VELA D'IGUALADA-ODENA,Aerodrom General Vives,08711,Òdena,Anoia,93-8031276 /,info@volavela.com,Clubs i Associacions Esportives,"Esports aeris, Vol a vela"
01884,CLUB PATI SANT RAMON,"Ferran, 1",08720,Vilafranca del Penedès,Alt Penedès,93-890 18 28 / 93 817 17 87,secretaria@manyanet-vilafranca.org,Clubs i Associacions Esportives,"Atletisme, Basquetbol, Futbol, Hoquei sobre patins, Patinatge artístic, Patinatge sobre rodes"
01885,CLUB GIMNASIO KANKU,"Antonio Machado, 1",08120,"Llagosta, la",Vallès Oriental,93-5600937 /,,Clubs i Associacions Esportives,"Gimnàstica, Judo, Karate"
01886,FEDERACIO CATALANA DE HOCKEY,"Catalunya, 5 3r 1a",08007,Barcelona,Barcelonès,93-3176949 /,,Federacions,"Hockey, Hockey platja, Hockey sala, Hoquei sobre herba (Hockey)"
01887,FEDERACIO CATALANA DE SALVAMENT I SOCORRISME,"París, 44 (local)",08904,"Hospitalet de Llobregat, l'",Barcelonès,93-440 60 98 / 93 448 19 81,fcss@salvament.org,Federacions,Salvament aquàtic
01888,FEDERACIO CATALANA D'ACTIVITATS SUBAQUATIQUES,"Moll de la Vela, 1 (ZONA FÒRUM)",08930,Sant Adrià de Besòs,Barcelonès,93 356 05 43 / 93 356 30 73,info@fecds.cat,Federacions,"Activitats subaquàtiques, Apnea, Escafandrisme"
01889,FEDERACIO CATALANA DE BOXA AMATEUR,"Vilamarí, 28, baixos 1",08015,Barcelona,Barcelonès,933023484 / 933016596,fcbaboxa@gmail.com,Federacions,Boxa
01890,FEDERACIO CATALANA DE REM,"Guipúscoa, 23-25, 3r-F",08018,Barcelona,Barcelonès,93-3304349 /,,Federacions,Rem
01891,SOCIETAT CAÇADORS DE MONISTROL DE MONTSERRAT,"Montserat, 6, 2n",08691,Monistrol de Montserrat,Bages,93-8350532 /,,Clubs i Associacions Esportives,"Caça, Caça fotogràfica  (Caça), Coloms a braç (Caça), Concursos de caça petita amb gos (Caça), Concursos de gossos  de caça (Caça), Falconeria, Ocells fringíl·lids, Recorreguts de caça, Sant Umbert (Caça)"
01892,C.D. LA CAVA,"Les Goles d'Ebre, 208",43580,Deltebre,Baix Ebre,977-480305 /,lacavacd@gmail.com,Clubs i Associacions Esportives,"Atletisme, Basquetbol, Futbol, Handbol, Natació"
01893,CLUB FUTBOL SUNYER,"Lleida, 2",25174,Sunyer,Segrià,973-138125 /,,Clubs i Associacions Esportives,Futbol
01894,CLUB DE FUTBOL BELLAVISTA MILAN,"Zona Esortiva Municipal de Corro d'Avall, s/n",08520,"Franqueses del Vallès, les",Vallès Oriental,93-8496377 /,,Clubs i Associacions Esportives,Futbol
01896,CLUB DE FUTBOL ATLETIC OLESANA,"República Argentina, 38",08640,Olesa de Montserrat,Baix Llobregat,93-7784150 /,,Clubs i Associacions Esportives,Futbol
01897,CLUB ESPORTIU RIUDEBITLLES,"Sant Jeroni, s/n -Zona Esportiva-",08776,Sant Pere de Riudebitlles,Alt Penedès,667428191 /,ceriudebitlles@gmail.com,Clubs i Associacions Esportives,Futbol
01898,C.F. MARTI JULIA,"Dr. Martí i Julia, 65",08903,"Hospitalet de Llobregat, l'",Barcelonès,93-3332064 /,,Clubs i Associacions Esportives,Futbol
01899,U.E. LLEIDA,"TRAV. DR. FLEMING, S/N",25006,Lleida,Segrià,973-242409 /,,Clubs i Associacions Esportives,"Basquetbol, Futbol, Voleibol"
01901,UNIO ESPORTIVA ESTANY,"Monestir, s/n",08148,"Estany, l'",Moianès,93-8303087 /,,Clubs i Associacions Esportives,Escacs
